feature,importance
cap_sentiment_score,0.12110602115282197
lum_percent,0.10734327454177627
percent_cold,0.057833653421596236
n_mentions,0.050805400650568766
arousal,0.05013579511413823
n_female,0.0483061135606368
n_emojis,0.04534586890287057
pleasure,0.04074523597640512
places365_micro_6.0,0.03959583842191277
b_percent,0.03542013627621288
std_male_age,0.03353493379534677
n_male,0.031958554561426246
dominance,0.02935921082906061
indoor,0.028323855998652087
caption_len,0.02742041011530188
PopularityScore,0.026604465636576403
is_location,0.024808554999711917
weighted_emoji_sent,0.024040865540279614
cap_sentiment_magnitude,0.023233237432846193
g_percent,0.022962384206139535
places365_micro_3.0,0.022952098730844
days_within,0.022666266716737788
r_percent,0.022390448444670547
std_age,0.01543072116845218
places365_micro_13.0,0.01493564483511581
places365_macro_2.0,0.014889108151909053
places365_macro_0.0,0.009957583325110507
places365_macro_1.0,0.0068674612228247015
places365_micro_5.0,0.0010268562700545241
places365_micro_0.0,0.0
places365_micro_4.0,0.0
places365_micro_7.0,0.0
places365_micro_10.0,0.0
places365_micro_11.0,0.0
places365_micro_12.0,0.0
std_female_age,0.0
places365_micro_14.0,0.0
places365_micro_15.0,0.0
places365_micro_2.0,0.0
places365_micro_1.0,0.0
is_sponsored,0.0
mean_female_age,0.0
mean_male_age,0.0
percent_warm,0.0
person,0.0
vehicle,0.0
outdoor,0.0
animal,0.0
accessory,0.0
sports,0.0
kitchen,0.0
food,0.0
furniture,0.0
electronic,0.0
appliance,0.0
n_hashtags,0.0
is_video,0.0
mean_age,0.0
min_age,0.0
max_age,0.0
places365_micro_8.0,0.0
